condition,generated_file,clean_reference,clean_object_count,generated_object_count,clean_avg_confidence,generated_avg_confidence,detection_drop,confidence_drop
blur_high,0001_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489303912404.jpg,11,7,0.5741950273513794,0.6620469689369202,4,-0.08785194158554077
blur_high,0002_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304412404.jpg,11,8,0.5495448708534241,0.6264159679412842,3,-0.07687109708786011
blur_high,0003_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489304912404.jpg,9,8,0.6105371117591858,0.6334069967269897,1,-0.022869884967803955
blur_high,0004_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305412404.jpg,12,11,0.6087847352027893,0.5857980251312256,1,0.02298671007156372
blur_high,0005_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489305912404.jpg,14,9,0.5498559474945068,0.6345311999320984,5,-0.08467525243759155
blur_high,0006_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306412404.jpg,12,10,0.6437248587608337,0.647504448890686,2,-0.003779590129852295
blur_high,0007_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489306912404.jpg,13,10,0.602387011051178,0.6146743893623352,3,-0.012287378311157227
blur_high,0008_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307412404.jpg,13,11,0.6595361232757568,0.6423413157463074,2,0.017194807529449463
blur_high,0009_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307912404.jpg,15,12,0.5986255407333374,0.6344502568244934,3,-0.035824716091156006
blur_high,0010_n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404_blur_high.png,n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489308362404.jpg,15,10,0.6063945293426514,0.72234708070755,5,-0.11595255136489868
